cauhoi,cautraloi
Điều kiện Học bổng,"Quản lý thể dục thể thao - Chuyên ngành Kinh doanh thể thao và tổ chức sự kiện là ngành học ứng dụng các kiến thức, xu hướng kinh doanh - tiếp thị, tổ chức sự kiện và phương pháp quản lý thể thao để quản lý, kinh doanh và tổ chức các sự kiện thể thao, lễ hội trong nước và quốc tế. TDTU là đơn vị giáo dục đầu tiên tại Việt Nam đào tạo ngành quản lý thể dục thể thao với 2 chuyên ngành chính, bao gồm Kinh doanh thể thao & tỏ chức sự kiện và chuyên ngành Golf. Sinh viên tốt nghiệp chuyên ngành Kinh doanh thể thao và tổ chức sự kiện có nhiều cơ hội việc làm hấp dẫn trong các agency sự kiện, truyền thông, marketing; các doanh nghiệp, tổ chức, hiệp hội thể thao các cấp hay resort, khách sạn, … bao gồm: chuyên viên tổ chức sự kiện, hội nghị, hội thảo, lễ hội du lịch thể thao, du lịch giải trí; chuyên viên nghiên cứu thị trường thể thao; chuyên viên đàm phán tài trợ; chuyên viên truyền thông, tiếp thị trong lĩnh vực thể thao; chuyên viên quản lý phòng GYM, quản lý thể thao giải trí; chuyên viên quản lý du lịch thể thao, quản lý khu thể thao ở khách sạn và Resort; chuyên viên quản lý bán hàng thể thao; cán bộ quản lý công trình thể thao, CLB thể thao ở trường quốc tế và trường đại học; chuyên viên tổ chức hoạt động thể dục thể thao tại các cơ sở, câu lạc bộ cấp quận huyện trên cả nước, …"
Tuyển sinh 2024,"Năm 2024, Trường Đại học Tôn Đức Thắng (TDTU) dự kiến tuyển sinh khoảng 6.500 chỉ tiêu trình độ đại học (chỉ tiêu cụ thể theo nguồn lực nhân sự tại thời điểm đăng ký chỉ tiêu) cho 40 ngành Chương trình tiêu chuẩn, 19 ngành Chương trình chất lượng cao, 12 ngành Chương trình đại học bằng tiếng Anh, 09 ngành chương trình học tại phân hiệu Khánh Hòa và 13 ngành Chương trình liên kết đào tạo quốc tế theo các phương thức xét tuyển: Phương thức 1: Xét theo kết quả quá trình học tập Trung học phổ thông (THPT) – Mã phương thức 200; Phương thức 2: Xét tuyển theo kết quả thi THPT năm 2024 – Mã phương thức 100; Phương thức 3: Xét tuyển thẳng, Ưu tiên xét tuyển theo quy định của TDTU – Mã phương thức 303; Phương thức 4: Xét tuyển theo kết quả bài thi đánh giá năng lực năm 2024 của Đai học Quốc gia TP.HCM – Mã phương thức 402. Ngoài ra, còn xét tuyển thẳng theo quy định tuyển thẳng của Bộ GD&ĐT. Danh mục ngành, chỉ tiêu tuyển sinh đại học năm 2024 (https://admission.tdtu.edu.vn/sites/admission23/files/Tuyen-sinh/2024/TBPATS/4.Quy-dinh-to-hop-mon-he-so-xet-tuyen-THPT-2024.pdf)"
"Xin chào, em sắp sửa là tân sinh viên ạ, thì vấn đề lớn nhất hiện tại của em chính là về cách ngành học, học phí, cũng như là những vấn đề xảy ra về ngành học sẽ xảy ra trong tương lai, ko biết lf admin có thể hổ trợ em được không ạ","Học phí trung bình của ngành này với chương trình tiêu chuẩn năm 2024 dự kiến là 27,060,000 đồng/năm"
Em đã chọn ngành đâu,"Ngành Kỹ thuật Điện tử - Viễn thông là ngành học nghiên cứu từ những hệ thống hiện đại như các mạng thông tin di động thế hệ mới, công nghệ IoT, cho đến các thiết bị điện tử ứng dụng trong đời sống hàng ngày như mạch báo cháy, báo trộm, … nhằm phục vụ cho đời sống sinh hoạt và sự phát triển kinh tế của mỗi quốc gia. Chương trình đào tạo chú trọng kết hợp chặt chẽ giữa lý thuyết và thực hành. Sinh viên được thực hành trên các hệ thống trang thiết bị hiện đại, đa số được tài trợ bởi các tập đoàn, doanh nghiệp lớn trong ngành như Siemens, ABB, Mitsubishi, Endress+Hausser… Ngoài ra, thông qua các đồ án môn học và đồ án tốt nghiệp, sinh viên được tiếp cận và thực hiện các đề tài đang là vấn đề cấp bách trong thực tế như chuyển đổi số trong công nghiệp, công nghệ internet kết nối vạn vật, xe tự hành, nông-lâm-ngư nghiệp-nhà thông minh, năng lượng tái tạo, …"
Ơ kìa,"Trong bối cảnh hiện nay, Marketing đã không còn quá xa lạ với mọi người và có tầm quan trọng đặc biệt đối với các doanh nghiệp, xã hội đang phát triển và hội nhập quốc tế như Việt Nam. Đây cũng được xem là một trong số những ngành “hot”; thu hút sự quan tâm đông đảo của học sinh, sinh viên trên cả nước. Cử nhân marketing sau khi ra trường có thể tự tin ứng tuyển vào các vị trí như chuyên viên tại các công ty hoạt động trong lĩnh vực Marketing; chuyên viên nghiên cứu thị trường, tổ chức sự kiện; chuyên viên chăm sóc khách hàng; chuyên viên truyền thông và quan hệ công chúng; chuyên viên phát triển nội dung; chuyên viên phát triển và quản trị thương hiệu. Ngoài ra, cử nhân Marketing còn có thể tham gia giảng dạy, nghiên cứu về lĩnh vực tiếp thị và quảng cáo hoặc tiếp tục nghiên cứu và học tập các bậc học cao hơn ở các chương trình sau đại học."
Marketing cũng hay đó ạ,"Quản lý thể dục thể thao - Chuyên ngành Golf là ngành học ứng dụng các kiến thức và kỹ thuật về Golf để huấn luyện, quản lý, kinh doanh và tổ chức các sự kiện thể thao liên quan đến Golf, đáp ứng nhu cầu thực tế của con người và xã hội, đặc biệt là trong bối cảnh nền kinh tế hội nhập và phát triển như hiện nay. Sinh viên tốt nghiệp chuyên ngành Golf có nhiều cơ hội việc làm hấp dẫn trong các doanh nghiệp, tổ chức, hiệp hội Golf với các vị trí như huấn luyện viên Golf, chuyên viên quản lý hệ thống sân tập Golf, chuyên viên kinh doanh sản phẩm Golf, chuyên viên quản lý dịch vụ thể thao tại resort và khách sạn 5 sao có sân Golf, chuyên viên tổ chức sự kiện và giải đấu Golf, …"
bao nhiêu tiền một tín chỉ.,"Trong bối cảnh hiện nay, Marketing đã không còn quá xa lạ với mọi người và có tầm quan trọng đặc biệt đối với các doanh nghiệp, xã hội đang phát triển và hội nhập quốc tế như Việt Nam. Đây cũng được xem là một trong số những ngành “hot”; thu hút sự quan tâm đông đảo của học sinh, sinh viên trên cả nước. Cử nhân marketing sau khi ra trường có thể tự tin ứng tuyển vào các vị trí như chuyên viên tại các công ty hoạt động trong lĩnh vực Marketing; chuyên viên nghiên cứu thị trường, tổ chức sự kiện; chuyên viên chăm sóc khách hàng; chuyên viên truyền thông và quan hệ công chúng; chuyên viên phát triển nội dung; chuyên viên phát triển và quản trị thương hiệu. Ngoài ra, cử nhân Marketing còn có thể tham gia giảng dạy, nghiên cứu về lĩnh vực tiếp thị và quảng cáo hoặc tiếp tục nghiên cứu và học tập các bậc học cao hơn ở các chương trình sau đại học."
Giới thiệu về khoa học máy tính hệ tiêu chuẩn,Bạn hãy truy cập vào đường link này để biết thêm thông tin chi tiết nha: https://cktt-cdr.tdtu.edu.vn/chuandaura?type=tuyensinh&hedaotao=1
Các ngành xét tuyển  2024,"Truy cập liên kết để biết thêm các danh mục ngành, tổ hợp xét tuyển theo kết quả thi THPT năm 2024: https://admission.tdtu.edu.vn/sites/admission23/files/Tuyen-sinh/2024/TBPATS/4.Quy-dinh-to-hop-mon-he-so-xet-tuyen-THPT-2024.pdf"
Khám phá TDTU,Truy cập liên kết để có thể khám phá TDTU theo cách của bạn: https://discovery.tdtu.edu.vn/
bản đồ trường học.,"Luật hiện đang là ngành học thu hút đông đảo học viên nhờ vào những tiềm năng phát triển nghề nghiệp trong tương lai. Với xu hướng hội nhập kinh tế hiện nay, nhu cầu cần thiết phải xây dựng và đào tạo một đội ngũ tư vấn luật chất lượng cao cho các hoạt động kinh doanh của doanh nghiệp trong và ngoài nước đang ngày càng được quan tâm và chú trọng. Cử nhân Luật có thể tự tin ứng tuyển và các vị trí như chuyên gia tư vấn; quản lý doanh nghiệp; chuyên gia đàm phán, soạn thảo và ký kết các hợp đồng thương mại; luật sư đảm nhiệm công tác pháp lý ở các doanh nghiệp thuộc các thành phần kinh tế; làm việc trong các Cơ quan Nhà nước, các tổ chức chính trị – xã hội; tham gia các hoạt động tố tụng liên quan đến thương mại, dân sự, lao động, hành chính; đảm đương công tác pháp chế ở các tổ chức phi chính phủ, các tổ chức quốc tế tại Việt Nam; nghiên cứu, đề ra các giải pháp mang tính pháp lý ở các doanh nghiệp cũng như ở các cơ quan quản lý Nhà nước. Ngoài ra, cử nhân Luật còn có thể học lên cao học để bổ sung, cập nhật và nâng cao kiến thức ngành luật."
Năm nay tao có học bổng hong mạy,"Quản lý thể dục thể thao - Chuyên ngành Kinh doanh thể thao và tổ chức sự kiện là ngành học ứng dụng các kiến thức, xu hướng kinh doanh - tiếp thị, tổ chức sự kiện và phương pháp quản lý thể thao để quản lý, kinh doanh và tổ chức các sự kiện thể thao, lễ hội trong nước và quốc tế. TDTU là đơn vị giáo dục đầu tiên tại Việt Nam đào tạo ngành quản lý thể dục thể thao với 2 chuyên ngành chính, bao gồm Kinh doanh thể thao & tỏ chức sự kiện và chuyên ngành Golf. Sinh viên tốt nghiệp chuyên ngành Kinh doanh thể thao và tổ chức sự kiện có nhiều cơ hội việc làm hấp dẫn trong các agency sự kiện, truyền thông, marketing; các doanh nghiệp, tổ chức, hiệp hội thể thao các cấp hay resort, khách sạn, … bao gồm: chuyên viên tổ chức sự kiện, hội nghị, hội thảo, lễ hội du lịch thể thao, du lịch giải trí; chuyên viên nghiên cứu thị trường thể thao; chuyên viên đàm phán tài trợ; chuyên viên truyền thông, tiếp thị trong lĩnh vực thể thao; chuyên viên quản lý phòng GYM, quản lý thể thao giải trí; chuyên viên quản lý du lịch thể thao, quản lý khu thể thao ở khách sạn và Resort; chuyên viên quản lý bán hàng thể thao; cán bộ quản lý công trình thể thao, CLB thể thao ở trường quốc tế và trường đại học; chuyên viên tổ chức hoạt động thể dục thể thao tại các cơ sở, câu lạc bộ cấp quận huyện trên cả nước, …"
Học phí 1 năm của CTUT,"Thiết kế đồ họa là ngành học luôn mang tính hiện đại có sự ảnh hưởng đa chiều tới hầu hết các ngành nghề trong xã hội. Thiết kế đồ họa tại Trường Đại học Tôn Đức Thắng sẽ bao gồm các lĩnh vực chính như: nghệ thuật chữ (typography), nhận diện thương hiệu (branding), thiết kế các ấn phẩm (publication design), quảng cáo (advertising), hình ảnh đồ họa (image making), thiết kế bao bì (packaging), thiết kế Web và ứng dụng (website & application design). Đây là những nhân tố đóng vai trò cùng quan trọng trong quảng cáo, các hoạt động văn hóa nghệ thuật để truyền tải thông điệp đến công chúng, phục vụ cho nhu cầu phát triển của xã hội. Cử nhân Thiết kế đồ họa có thể tự tin ứng tuyển vào làm việc tại các công ty thiết kế, studio, agency, công ty truyền thông, nhà xuất bản, ... trong nước và quốc tế ở các vị trí như: chuyên viên thiết kế đồ họa; giám đốc sáng tạo; chuyên viên chỉ đạo nghệ thuật, chụp ảnh, vẽ minh họa, quảng cáo; phụ trách in ấn, thiết kế tạp chí và xuất bản; chuyên viên thiết kế bao bì; chuyên viên truyền thông trong nước và quốc tế. Ngoài ra, sinh viên có thể tạo lập công ty hoặc thương hiệu riêng; lựa chọn giảng dạy tại các cơ sở giáo dục đại học, cao đẳng hoặc tham gia các chương trình đào tạo thạc sĩ thuộc nhóm ngành mỹ thuật, thiết kế trong và ngoài nước."
nội quy nhà trường,"Thống kê là ngành học về kiểm soát số lượng, nghiên cứu các vấn đề liên quan tới hệ thống dữ liệu thu thập được thông qua các phân tích chuyên sâu, khả năng giải thích con số, biểu diễn số lượng thống kê bằng biểu đồ và tổ chức hệ thống các dữ liệu một cách khoa học. Thống kê được ứng dụng vào hầu hết các lĩnh vực như khoa học xã hội, sinh học, y học, kinh tế, công nghiệp, ... Khi kết hợp giữa Toán học và Công nghệ thông tin, Thống kê cho phép khám phá tất cả các khía cạnh của dữ liệu, hướng đến giải quyết một số bài toán then chốt trong cách mạng công nghiệp 4.0. Cử nhân ngành thống kê sau khi tốt nghiệp có thể đảm nhận nhiều vị trí công việc sau: làm việc đúng nghiệp vụ thống kê trong 708 đơn vị Thống kê nhà nước ở Việt Nam; làm công tác tổng hợp báo cáo dữ liệu, phân tích thống kê về các chỉ tiêu kinh tế - xã hội ở các sở ban ngành kinh tế ở các cấp chính quyền từ trung ương đến cấp quận huyện ở địa phương; chuyên viên nghiên cứu chuyên nghiệp, phân tích dữ liệu thống kê tại các viện nghiên cứu, công ty nghiên cứu thị trường, vận tải biển, hàng không; giảng viên giảng dạy các học phần thống kê tại các trường đại học, cao đẳng và trung cấp chuyên nghiệp trong hệ thống giáo dục đào tạo Việt Nam, … hoặc có thể tiếp tục học lên các bậc học cao hơn."
trường có bao nhiêu cơ sở,"Quản lý xây dựng là ngành học vận dụng kiến thức chuyên môn để quản lý các dự án xây dựng, hoặc thực hiện nhiệm vụ tư vấn quản lý toàn bộ dự án, lập và thẩm định dự án đầu tư, lập hồ sơ thiết kế tổ chức thi công, tư vấn đấu thầu, quản lý thi công, nghiệm thu bàn giao công trình đưa vào sử dụng và thanh quyết toán công trình, kiểm định công trình xây dựng, v.v. Đối với một quốc gia đang phát triển nhanh như Việt Nam, nhu cầu về các chuyên gia quản lý xây dựng ngày càng cao, nhằm đảm bảo hiệu quả đầu tư dự án trong ngành xây dựng và sự phát triển bền vững của đất nước. Sinh viên tốt nghiệp ngành Quản lý xây dựng có đủ năng lực và kỹ năng để ứng tuyển vào hầu hết các vị trí công việc liên quan đến công tác quản lý dự án tại doanh nghiệp xây dựng, đầu tư bất động sản như thiết kế, giám sát, thi công, đấu thầu, đầu tư, thanh quyết toán,…; làm việc tại các cơ quan quản lý Nhà nước và cơ quan chuyên môn của chủ đầu tư về xây dựng; trở thành giảng viên, nghiên cứu viên, hoặc tiếp tục bậc học cao hơn tại các cơ sở đào tạo trong và ngoài nước."
trường đào tạo những ngành nào,Chương trình giáo dục đại học tiêu chuẩn của TDTU gồm có: (1) Chương trình đào tạo các cử nhân trình độ đại học chính quy; đạt chuẩn đầu ra bậc 6/8 theo khung trình độ quốc gia Việt Nam; (2) Chương trình đào tạo các ngành chuyên sâu đặc thù cấp bằng kỹ sư/kiến trúc sư/dược sĩ; đạt chuẩn đầu ra bậc 7/8 khung trình độ quốc gia Việt Nam; Các chương trình đào tạo của TDTU đạt chuẩn đầu ra theo công bố của Trường và đáp ứng yêu cầu hội nhập trong khu vực và thế giới. Truy cập: https://admission.tdtu.edu.vn/dai-hoc/chuong-trinh-tieu-chuan-day-hoc-bang-tieng-viet để biết thêm chi tiết.
Các ngành xét tuyển  2024,"Truy cập liên kết để biết thêm các danh mục ngành, tổ hợp xét tuyển theo kết quả thi THPT năm 2024: https://admission.tdtu.edu.vn/sites/admission23/files/Tuyen-sinh/2024/TBPATS/4.Quy-dinh-to-hop-mon-he-so-xet-tuyen-THPT-2024.pdf"
Tư vấn tuyển sinh,Tư vấn trực tuyến với https://www.facebook.com/tuyensinhtdtu
Học phí của năm học 2024,"Công nghệ sinh học là ngành ứng dụng các kiến thức trong lĩnh vực sinh học nhằm nghiên cứu và sản xuất ra các sản phẩm sinh học thiết yếu, sản phẩm có giá trị cao như vaccine, kháng sinh, xăng sinh học; cải tiến chất lượng giống cây trồng, ứng dụng vi sinh để xử lý nước thải công nghiệp, ứng dụng các hợp chất tự nhiên để điều trị bệnh và những ứng dụng khác phục vụ cho đời sống con người."
Tuyển sinh 2024,"Năm 2024, Trường Đại học Tôn Đức Thắng (TDTU) dự kiến tuyển sinh khoảng 6.500 chỉ tiêu trình độ đại học (chỉ tiêu cụ thể theo nguồn lực nhân sự tại thời điểm đăng ký chỉ tiêu) cho 40 ngành Chương trình tiêu chuẩn, 19 ngành Chương trình chất lượng cao, 12 ngành Chương trình đại học bằng tiếng Anh, 09 ngành chương trình học tại phân hiệu Khánh Hòa và 13 ngành Chương trình liên kết đào tạo quốc tế theo các phương thức xét tuyển: Phương thức 1: Xét theo kết quả quá trình học tập Trung học phổ thông (THPT) – Mã phương thức 200; Phương thức 2: Xét tuyển theo kết quả thi THPT năm 2024 – Mã phương thức 100; Phương thức 3: Xét tuyển thẳng, Ưu tiên xét tuyển theo quy định của TDTU – Mã phương thức 303; Phương thức 4: Xét tuyển theo kết quả bài thi đánh giá năng lực năm 2024 của Đai học Quốc gia TP.HCM – Mã phương thức 402. Ngoài ra, còn xét tuyển thẳng theo quy định tuyển thẳng của Bộ GD&ĐT. Danh mục ngành, chỉ tiêu tuyển sinh đại học năm 2024 (https://admission.tdtu.edu.vn/sites/admission23/files/Tuyen-sinh/2024/TBPATS/4.Quy-dinh-to-hop-mon-he-so-xet-tuyen-THPT-2024.pdf)"
Tuyển sinh 2024,"Năm 2024, Trường Đại học Tôn Đức Thắng (TDTU) dự kiến tuyển sinh khoảng 6.500 chỉ tiêu trình độ đại học (chỉ tiêu cụ thể theo nguồn lực nhân sự tại thời điểm đăng ký chỉ tiêu) cho 40 ngành Chương trình tiêu chuẩn, 19 ngành Chương trình chất lượng cao, 12 ngành Chương trình đại học bằng tiếng Anh, 09 ngành chương trình học tại phân hiệu Khánh Hòa và 13 ngành Chương trình liên kết đào tạo quốc tế theo các phương thức xét tuyển: Phương thức 1: Xét theo kết quả quá trình học tập Trung học phổ thông (THPT) – Mã phương thức 200; Phương thức 2: Xét tuyển theo kết quả thi THPT năm 2024 – Mã phương thức 100; Phương thức 3: Xét tuyển thẳng, Ưu tiên xét tuyển theo quy định của TDTU – Mã phương thức 303; Phương thức 4: Xét tuyển theo kết quả bài thi đánh giá năng lực năm 2024 của Đai học Quốc gia TP.HCM – Mã phương thức 402. Ngoài ra, còn xét tuyển thẳng theo quy định tuyển thẳng của Bộ GD&ĐT. Danh mục ngành, chỉ tiêu tuyển sinh đại học năm 2024 (https://admission.tdtu.edu.vn/sites/admission23/files/Tuyen-sinh/2024/TBPATS/4.Quy-dinh-to-hop-mon-he-so-xet-tuyen-THPT-2024.pdf)"
TUYỂN SINH 2024,"Năm 2024, Trường Đại học Tôn Đức Thắng (TDTU) dự kiến tuyển sinh khoảng 6.500 chỉ tiêu trình độ đại học (chỉ tiêu cụ thể theo nguồn lực nhân sự tại thời điểm đăng ký chỉ tiêu) cho 40 ngành Chương trình tiêu chuẩn, 19 ngành Chương trình chất lượng cao, 12 ngành Chương trình đại học bằng tiếng Anh, 09 ngành chương trình học tại phân hiệu Khánh Hòa và 13 ngành Chương trình liên kết đào tạo quốc tế theo các phương thức xét tuyển: Phương thức 1: Xét theo kết quả quá trình học tập Trung học phổ thông (THPT) – Mã phương thức 200; Phương thức 2: Xét tuyển theo kết quả thi THPT năm 2024 – Mã phương thức 100; Phương thức 3: Xét tuyển thẳng, Ưu tiên xét tuyển theo quy định của TDTU – Mã phương thức 303; Phương thức 4: Xét tuyển theo kết quả bài thi đánh giá năng lực năm 2024 của Đai học Quốc gia TP.HCM – Mã phương thức 402. Ngoài ra, còn xét tuyển thẳng theo quy định tuyển thẳng của Bộ GD&ĐT. Danh mục ngành, chỉ tiêu tuyển sinh đại học năm 2024 (https://admission.tdtu.edu.vn/sites/admission23/files/Tuyen-sinh/2024/TBPATS/4.Quy-dinh-to-hop-mon-he-so-xet-tuyen-THPT-2024.pdf)"
Tuyển sinh 2023,"Năm 2024, Trường Đại học Tôn Đức Thắng (TDTU) dự kiến tuyển sinh khoảng 6.500 chỉ tiêu trình độ đại học (chỉ tiêu cụ thể theo nguồn lực nhân sự tại thời điểm đăng ký chỉ tiêu) cho 40 ngành Chương trình tiêu chuẩn, 19 ngành Chương trình chất lượng cao, 12 ngành Chương trình đại học bằng tiếng Anh, 09 ngành chương trình học tại phân hiệu Khánh Hòa và 13 ngành Chương trình liên kết đào tạo quốc tế theo các phương thức xét tuyển: Phương thức 1: Xét theo kết quả quá trình học tập Trung học phổ thông (THPT) – Mã phương thức 200; Phương thức 2: Xét tuyển theo kết quả thi THPT năm 2024 – Mã phương thức 100; Phương thức 3: Xét tuyển thẳng, Ưu tiên xét tuyển theo quy định của TDTU – Mã phương thức 303; Phương thức 4: Xét tuyển theo kết quả bài thi đánh giá năng lực năm 2024 của Đai học Quốc gia TP.HCM – Mã phương thức 402. Ngoài ra, còn xét tuyển thẳng theo quy định tuyển thẳng của Bộ GD&ĐT. Danh mục ngành, chỉ tiêu tuyển sinh đại học năm 2024 (https://admission.tdtu.edu.vn/sites/admission23/files/Tuyen-sinh/2024/TBPATS/4.Quy-dinh-to-hop-mon-he-so-xet-tuyen-THPT-2024.pdf)"
Tuyển sinh 2024,"Năm 2024, Trường Đại học Tôn Đức Thắng (TDTU) dự kiến tuyển sinh khoảng 6.500 chỉ tiêu trình độ đại học (chỉ tiêu cụ thể theo nguồn lực nhân sự tại thời điểm đăng ký chỉ tiêu) cho 40 ngành Chương trình tiêu chuẩn, 19 ngành Chương trình chất lượng cao, 12 ngành Chương trình đại học bằng tiếng Anh, 09 ngành chương trình học tại phân hiệu Khánh Hòa và 13 ngành Chương trình liên kết đào tạo quốc tế theo các phương thức xét tuyển: Phương thức 1: Xét theo kết quả quá trình học tập Trung học phổ thông (THPT) – Mã phương thức 200; Phương thức 2: Xét tuyển theo kết quả thi THPT năm 2024 – Mã phương thức 100; Phương thức 3: Xét tuyển thẳng, Ưu tiên xét tuyển theo quy định của TDTU – Mã phương thức 303; Phương thức 4: Xét tuyển theo kết quả bài thi đánh giá năng lực năm 2024 của Đai học Quốc gia TP.HCM – Mã phương thức 402. Ngoài ra, còn xét tuyển thẳng theo quy định tuyển thẳng của Bộ GD&ĐT. Danh mục ngành, chỉ tiêu tuyển sinh đại học năm 2024 (https://admission.tdtu.edu.vn/sites/admission23/files/Tuyen-sinh/2024/TBPATS/4.Quy-dinh-to-hop-mon-he-so-xet-tuyen-THPT-2024.pdf)"
Tư vấn tuyển sinh,Tư vấn trực tuyến với https://www.facebook.com/tuyensinhtdtu
Khám phá TDTU,Truy cập liên kết để có thể khám phá TDTU theo cách của bạn: https://discovery.tdtu.edu.vn/
Tư vấn sau đại học,Hotline: 0935 035 270 Email: tuvantuyensinhlkqt@tdtu.edu.vn hoặc truy cập: https://admission.tdtu.edu.vn/sau-dai-hoc để biết thêm thông tin.
Thông tin ký túc xá,Bạn có thể vào trang thông tin chi tiết thông tin kèm hình ảnh về ký túc xá các cơ sở tại Đại học Tôn Đức Thắng: https://admission.tdtu.edu.vn/hoc-tai-tdtu/ky-tuc-xa
Các ngành xét tuyển  2024,"Truy cập liên kết để biết thêm các danh mục ngành, tổ hợp xét tuyển theo kết quả thi THPT năm 2024: https://admission.tdtu.edu.vn/sites/admission23/files/Tuyen-sinh/2024/TBPATS/4.Quy-dinh-to-hop-mon-he-so-xet-tuyen-THPT-2024.pdf"
ngành khoa học máy tính ,"Khoa học máy tính là ngành ứng dụng kiến thức về thuật toán, phương pháp tính toán, ngôn ngữ lập trình, phương pháp phân tích và xây dựng hệ thống thông tin, … để giải quyết các vấn đề thuộc lĩnh vực Khoa học máy tính; phát triển các hệ thống phần mềm máy tính, mô hình tính toán thông minh, các ứng dụng trên các nền tảng hiện đại để phục vụ cho nhiệm vụ công nghiệp hoá, hiện đại hoá đất nước trong lĩnh vực chuyển đổi số."
